unique(temp$sendID) recParty
C00370585 REP
C00371062 DEM
C00371088 DEM
C00371229 DEM
C00372862 DEM
C00373217 REP
C00373464 DEM
C00373696 DEM
C00374355 REP
C00374363 REP
C00374447 DEM
C00375048 REP
C00375360 REP
C00375451 DEM
C00375584 DEM
C00375691 DEM
C00376343 REP
C00376376 REP
C00376582 REP
C00376863 REP
C00377168 DEM
C00377549 DEM
C00377952 DEM
C00378125 DEM
C00378695 DEM
C00379420 REP
C00379628 REP
C00379693 DEM
C00379768 REP
C00379784 DEM
C00380527 DEM
C00380535 REP
C00380550 REP
C00380949 REP
C00381020 DEM
C00381459 DEM
C00381624 REP
C00381681 DEM
C00381699 DEM
C00381806 DEM
C00381954 REP
C00382028 DEM
C00382150 REP
C00382275 REP
C00382424 REP
C00382796 DEM
C00383463 REP
C00383489 DEM
C00383950 DEM
C00383976 DEM
C00383992 REP
C00384354 REP
C00384602 REP
C00384818 REP
C00385120 DEM
C00385179 DEM
C00385195 REP
C00385534 DEM
C00385849 DEM
C00385948 REP
C00386029 DEM
C00386250 DEM
C00386524 REP
C00386672 DEM
C00386904 REP
C00387555 DEM
C00387720 REP
C00388462 REP
C00388611 DEM
C00388819 DEM
C00388827 REP
C00389403 REP
C00389510 DEM
C00389585 DEM
C00389882 REP
C00390351 REP
C00390575 REP
C00390583 REP
C00390963 DEM
C00391086 REP
C00391383 REP
C00391508 DEM
C00392464 REP
C00392738 DEM
C00393298 REP
C00393512 DEM
C00393736 DEM
C00393769 DEM
C00394031 DEM
C00394452 REP
C00394650 REP
C00394775 DEM
C00395285 REP
C00395723 DEM
C00395947 DEM
C00396820 DEM
C00396895 DEM
C00397067 DEM
C00397455 REP
C00397851 DEM
C00397893 DEM
C00398271 DEM
C00399089 DEM
C00399386 REP
C00400333 DEM
C00400424 REP
C00400929 REP
C00401083 REP
C00401190 DEM
C00401299 DEM
C00402107 DEM
C00402321 DEM
C00402545 REP
C00402669 DEM
C00403071 DEM
C00403477 DEM
C00403592 DEM
C00403881 REP
C00404137 REP
C00404178 DEM
C00404194 REP
C00404350 DEM
C00405076 DEM
C00405241 DEM
C00405290 DEM
C00405555 REP
C00406215 REP
C00406397 DEM
C00406801 DEM
C00406892 DEM
C00407007 DEM
C00407635 DEM
C00408138 REP
C00408260 REP
C00408468 REP
C00408914 REP
C00409110 DEM
C00409219 DEM
C00409227 DEM
C00409250 DEM
C00409391 REP
C00409516 REP
C00409623 DEM
C00409714 REP
C00409730 DEM
C00409979 REP
C00410068 REP
C00410084 REP
C00410092 DEM
C00410126 DEM
C00410266 REP
C00410274 REP
C00410308 DEM
C00410324 REP
C00410407 DEM
C00410589 DEM
C00410654 REP
C00410720 REP
C00410761 DEM
C00411116 REP
C00411389 DEM
C00411553 DEM
C00411611 DEM
C00411694 DEM
C00411900 REP
C00412098 REP
C00412221 DEM
C00412395 DEM
C00412403 DEM
C00412619 REP
C00412635 DEM
C00412791 DEM
C00413179 DEM
C00413575 DEM
C00413716 DEM
C00414425 DEM
C00414474 REP
C00414649 REP
C00414896 REP
C00415166 REP
C00415331 DEM
C00415372 REP
C00415752 DEM
C00415869 DEM
C00416131 DEM
C00416396 DEM
C00416495 REP
C00416636 REP
C00416685 DEM
C00416743 DEM
C00417139 DEM
C00417394 DEM
C00417584 DEM
C00417634 DEM
C00417717 DEM
C00417733 DEM
C00417865 DEM
C00418897 DEM
C00419028 DEM
C00419911 REP
C00419986 DEM
C00420398 REP
C00420919 DEM
C00421230 REP
C00421420 DEM
C00421982 DEM
C00422501 REP
C00423079 DEM
C00423228 REP
C00423236 DEM
C00423442 REP
C00423731 DEM
C00423814 REP
C00423863 REP
C00424382 REP
C00424788 DEM
C00424838 REP
C00424879 DEM
C00425975 REP
C00426122 DEM
C00426445 REP
C00426775 REP
C00427203 DEM
C00427781 REP
C00428094 DEM
C00428110 REP
C00428391 DEM
C00428557 DEM
C00428623 REP
C00428979 DEM
C00429050 DEM
C00429456 DEM
C00429662 REP
C00429787 DEM
C00429886 REP
C00430157 REP
C00430280 DEM
C00430371 DEM
C00430397 REP
C00430884 REP
C00431072 REP
C00431122 DEM
C00431312 REP
C00431361 REP
C00431429 DEM
C00431478 DEM
C00431544 DEM
C00431551 REP
C00431601 DEM
C00431858 REP
C00431874 DEM
C00431932 DEM
C00431981 DEM
C00432252 REP
C00432393 REP
C00432401 DEM
C00432526 REP
C00432757 DEM
C00432823 DEM
C00432856 REP
C00432963 REP
C00433029 DEM
C00433219 DEM
C00433680 DEM
C00433797 DEM
C00434142 REP
C00434191 DEM
C00434811 DEM
C00435024 REP
C00435099 DEM
C00435735 DEM
C00435933 REP
C00435982 DEM
C00435990 DEM
C00436022 DEM
C00436238 DEM
C00436360 DEM
C00436485 REP
C00436998 DEM
C00437079 DEM
C00437244 REP
C00438051 DEM
C00438358 DEM
C00439216 DEM
C00439646 DEM
C00439992 DEM
C00440743 DEM
C00440826 REP
C00441204 REP
C00441501 DEM
C00441733 DEM
C00441808 REP
C00441949 DEM
C00441980 REP
C00442020 DEM
C00442434 DEM
C00442905 DEM
C00442913 REP
C00442996 REP
C00443168 REP
C00443671 DEM
C00443739 DEM
C00443937 REP
C00444885 REP
C00445593 DEM
C00445817 DEM
C00445981 REP
C00446237 DEM
C00446674 REP
C00447565 REP
C00448001 DEM
C00448324 REP
C00448530 DEM
C00448993 REP
C00449165 REP
C00449512 DEM
C00449538 DEM
C00450056 DEM
C00450288 DEM
C00450692 DEM
C00450734 DEM
C00450916 REP
C00450965 DEM
C00451153 REP
C00451518 REP
C00451575 DEM
C00451781 DEM
C00452052 REP
C00452276 DEM
C00452748 DEM
C00452763 DEM
C00452961 DEM
C00454041 REP
C00454918 DEM
C00455394 DEM
C00455733 DEM
C00455840 DEM
C00455881 DEM
C00456905 DEM
C00456939 REP
C00457051 REP
C00457234 REP
C00457366 REP
C00457697 REP
C00457754 REP
C00458000 DEM
C00458257 REP
C00458380 DEM
C00458547 DEM
C00458570 DEM
C00458794 DEM
C00459289 REP
C00459305 DEM
